Time,Message
251790.9368179,b'Frame Received\r\n'
251791.0377309,b'Frame Received\r\n'
251791.1378149,b'Frame Received\r\n'
251791.2375858,b'Frame Received\r\n'
251791.3377568,b'Frame Received\r\n'
251791.4376689,b'Frame Received\r\n'
251791.5374459,b'Frame Received\r\n'
251791.6373648,b'Frame Received\r\n'
251791.7374503,b'Frame Received\r\n'
251791.8390715,b'Frame Received\r\n'
251791.936861,b'Frame Received\r\n'
251792.0365952,b'Frame Received\r\n'
251792.1394227,b'Frame Received\r\n'
251792.237504,b'Frame Received\r\n'
251792.3379309,b'Frame Received\r\n'
251792.4398641,b'Frame Received\r\n'
251792.5379019,b'Frame Received\r\n'
251792.6364573,b'Frame Received\r\n'
251792.7381609,b'Frame Received\r\n'
251792.8394397,b'Frame Received\r\n'
251792.9394977,b'Frame Received\r\n'
251793.0396328,b'Frame Received\r\n'
251793.1393311,b'Frame Received\r\n'
251793.2374247,b'Frame Received\r\n'
251793.3393111,b'Frame Received\r\n'
251793.438046,b'Frame Received\r\n'
251793.5392836,b'Frame Received\r\n'
251793.6364573,b'Frame Received\r\n'
251793.737313,b'Frame Received\r\n'
251793.837078,b'Frame Received\r\n'
251793.9392588,b'Frame Received\r\n'
251794.039587,b'Frame Received\r\n'
251794.1370753,b'Frame Received\r\n'
251794.2390521,b'Frame Received\r\n'
251794.3374934,b'Frame Received\r\n'
251794.4395165,b'Frame Received\r\n'
251794.5393939,b'Frame Received\r\n'
251794.6363694,b'Frame Received\r\n'
251794.7391999,b'Frame Received\r\n'
251794.8392172,b'Frame Received\r\n'
251794.9393641,b'Frame Received\r\n'
251795.0375791,b'Frame Received\r\n'
251795.1388202,b'Frame Received\r\n'
251795.2373884,b'Frame Received\r\n'
251795.3390028,b'Frame Received\r\n'
251795.4393675,b'Frame Received\r\n'
251795.5369426,b'Frame Received\r\n'
251795.63625,b'Frame Received\r\n'
251795.7393182,b'Frame Received\r\n'
251795.8377217,b'Frame Received\r\n'
251795.9393401,b'Frame Received\r\n'
251796.0393002,b'Frame Received\r\n'
251796.1394362,b'Frame Received\r\n'
251796.2383354,b'Frame Received\r\n'
251796.3389727,b'Frame Received\r\n'
251796.4375528,b'Frame Received\r\n'
251796.5395515,b'Frame Received\r\n'
251796.6368021,b'Frame Received\r\n'
251796.7392822,b'Frame Received\r\n'
251796.8375591,b'Frame Received\r\n'
251796.9389113,b'Frame Received\r\n'
251797.038984,b'Frame Received\r\n'
251797.1392817,b'Frame Received\r\n'
251797.2376728,b'Frame Received\r\n'
251797.339109,b'Frame Received\r\n'
251797.4391747,b'Frame Received\r\n'
251797.5389707,b'Frame Received\r\n'
251797.6362664,b'Frame Received\r\n'
251797.7374587,b'Frame Received\r\n'
251797.839745,b'Frame Received\r\n'
251797.936909,b'Frame Received\r\n'
251798.0390086,b'Frame Received\r\n'
251798.1390808,b'Frame Received\r\n'
251798.2392689,b'Frame Received\r\n'
251798.3392607,b'Frame Received\r\n'
251798.4390846,b'Frame Received\r\n'
251798.5391719,b'Frame Received\r\n'
251798.639235,b'Frame Received\r\n'
251798.7372144,b'Frame Received\r\n'
251798.8396159,b'Frame Received\r\n'
251798.9366922,b'Frame Received\r\n'
251799.0381787,b'Frame Received\r\n'
251799.1373602,b'Frame Received\r\n'
251799.237125,b'Frame Received\r\n'
251799.3389304,b'Frame Received\r\n'
251799.439096,b'Frame Received\r\n'
251799.5376771,b'Frame Received\r\n'
251799.6391695,b'Frame Received\r\n'
251799.7383469,b'Frame Received\r\n'
251799.8391128,b'Frame Received\r\n'
251799.937245,b'Frame Received\r\n'
251800.0361298,b'Frame Received\r\n'
251800.1369485,b'Frame Received\r\n'
251800.2393605,b'Frame Received\r\n'
251800.3390522,b'Frame Received\r\n'
251800.439173,b'Frame Received\r\n'
251800.5375344,b'Frame Received\r\n'
