Time,Message
251790.8373043,b'TX Frame Sent\r\n'
251790.9366083,b'TX Frame Sent\r\n'
251791.037621,b'TX Frame Sent\r\n'
251791.1375889,b'TX Frame Sent\r\n'
251791.2375207,b'TX Frame Sent\r\n'
251791.3376626,b'TX Frame Sent\r\n'
251791.4378558,b'TX Frame Sent\r\n'
251791.5371348,b'TX Frame Sent\r\n'
251791.6372085,b'TX Frame Sent\r\n'
251791.7373902,b'TX Frame Sent\r\n'
251791.8390318,b'TX Frame Sent\r\n'
251791.9366471,b'TX Frame Sent\r\n'
251792.0363285,b'TX Frame Sent\r\n'
251792.1393005,b'TX Frame Sent\r\n'
251792.2375181,b'TX Frame Sent\r\n'
251792.3377688,b'TX Frame Sent\r\n'
251792.4397025,b'TX Frame Sent\r\n'
251792.5376623,b'TX Frame Sent\r\n'
251792.6364239,b'TX Frame Sent\r\n'
251792.7381346,b'TX Frame Sent\r\n'
251792.8392502,b'TX Frame Sent\r\n'
251792.9392218,b'TX Frame Sent\r\n'
251793.0391682,b'TX Frame Sent\r\n'
251793.1394444,b'TX Frame Sent\r\n'
251793.2375563,b'TX Frame Sent\r\n'
251793.3390744,b'TX Frame Sent\r\n'
251793.436858,b'TX Frame Sent\r\n'
251793.5392289,b'TX Frame Sent\r\n'
251793.6364003,b'TX Frame Sent\r\n'
251793.7373285,b'TX Frame Sent\r\n'
251793.8369984,b'TX Frame Sent\r\n'
251793.9390636,b'TX Frame Sent\r\n'
251794.0390897,b'TX Frame Sent\r\n'
251794.1370399,b'TX Frame Sent\r\n'
251794.2390027,b'TX Frame Sent\r\n'
251794.3372824,b'TX Frame Sent\r\n'
251794.4391227,b'TX Frame Sent\r\n'
251794.5392481,b'TX Frame Sent\r\n'
251794.6361839,b'TX Frame Sent\r\n'
251794.7390447,b'TX Frame Sent\r\n'
251794.8391406,b'TX Frame Sent\r\n'
251794.9391967,b'TX Frame Sent\r\n'
251795.0374012,b'TX Frame Sent\r\n'
251795.1386627,b'TX Frame Sent\r\n'
251795.237373,b'TX Frame Sent\r\n'
251795.3389858,b'TX Frame Sent\r\n'
251795.4391738,b'TX Frame Sent\r\n'
251795.5371464,b'TX Frame Sent\r\n'
251795.6363307,b'TX Frame Sent\r\n'
251795.7393483,b'TX Frame Sent\r\n'
251795.8376745,b'TX Frame Sent\r\n'
251795.93929,b'TX Frame Sent\r\n'
251796.0391282,b'TX Frame Sent\r\n'
251796.1390973,b'TX Frame Sent\r\n'
251796.2382882,b'TX Frame Sent\r\n'
251796.3389725,b'TX Frame Sent\r\n'
251796.4374596,b'TX Frame Sent\r\n'
251796.5391248,b'TX Frame Sent\r\n'
251796.6368659,b'TX Frame Sent\r\n'
251796.7391833,b'TX Frame Sent\r\n'
251796.8374847,b'TX Frame Sent\r\n'
251796.9387168,b'TX Frame Sent\r\n'
251797.0389324,b'TX Frame Sent\r\n'
251797.1390489,b'TX Frame Sent\r\n'
251797.2377351,b'TX Frame Sent\r\n'
251797.3390292,b'TX Frame Sent\r\n'
251797.4391188,b'TX Frame Sent\r\n'
251797.5389379,b'TX Frame Sent\r\n'
251797.6363129,b'TX Frame Sent\r\n'
251797.7373045,b'TX Frame Sent\r\n'
251797.8395441,b'TX Frame Sent\r\n'
251797.9367706,b'TX Frame Sent\r\n'
251798.039007,b'TX Frame Sent\r\n'
251798.1390265,b'TX Frame Sent\r\n'
251798.2391276,b'TX Frame Sent\r\n'
251798.3390799,b'TX Frame Sent\r\n'
251798.4389942,b'TX Frame Sent\r\n'
251798.5389906,b'TX Frame Sent\r\n'
251798.6391101,b'TX Frame Sent\r\n'
251798.737075,b'TX Frame Sent\r\n'
251798.8395943,b'TX Frame Sent\r\n'
251798.9367096,b'TX Frame Sent\r\n'
251799.0380739,b'TX Frame Sent\r\n'
251799.1373074,b'TX Frame Sent\r\n'
251799.2370661,b'TX Frame Sent\r\n'
251799.3388755,b'TX Frame Sent\r\n'
251799.4389032,b'TX Frame Sent\r\n'
251799.5377943,b'TX Frame Sent\r\n'
251799.63903,b'TX Frame Sent\r\n'
251799.738309,b'TX Frame Sent\r\n'
251799.8391272,b'TX Frame Sent\r\n'
251799.9371954,b'TX Frame Sent\r\n'
251800.0360323,b'TX Frame Sent\r\n'
251800.1368517,b'TX Frame Sent\r\n'
251800.239081,b'TX Frame Sent\r\n'
251800.3388789,b'TX Frame Sent\r\n'
251800.4390739,b'TX Frame Sent\r\n'
251800.5373875,b'TX Frame Sent\r\n'
251800.6385342,b'TX Frame Sent\r\n'
251800.7383087,b'TX Frame Sent\r\n'
251800.8373943,b'TX Frame Sent\r\n'
251800.9390538,b'TX Frame Sent\r\n'
251801.0389876,b'TX Frame Sent\r\n'
251801.1389585,b'TX Frame Sent\r\n'
251801.239093,b'TX Frame Sent\r\n'
251801.3373176,b'TX Frame Sent\r\n'
251801.4386264,b'TX Frame Sent\r\n'
251801.5389049,b'TX Frame Sent\r\n'
251801.6372635,b'TX Frame Sent\r\n'
251801.7363687,b'TX Frame Sent\r\n'
