,Test Condition,Test Duration (ms),Distance (cm),Transmission Rate (Hz),Message Length (bytes),Messages Sent,Messages Received,Packet Loss (%)
0,Occlusion,10,100,100.0,1021,770,N/A,100.0
1,Occlusion,10,400,100.0,1021,772,2,0.2590673575129543
2,Occlusion,10,100,100.0,32,N/A,N/A,97.5024975024975
3,Occlusion,10,400,100.0,32,998,2,0.2004008016032066
4,Occlusion,10,100,100.0,512,N/A,N/A,98.45984598459846
5,Occlusion,10,400,100.0,512,910,2,0.219780219780219
6,Occlusion,10,100,500.0,1021,1980,1966,99.29292929292929
7,Occlusion,10,400,500.0,1021,1980,2,0.1010101010101016
8,Occlusion,10,100,500.0,32,3290,3277,99.6048632218845
9,Occlusion,10,400,500.0,32,4926,2,0.0406008932196555
10,Occlusion,10,100,500.0,512,3290,3270,99.3920972644377
11,Occlusion,10,400,500.0,512,3334,2,0.0599880023995247
12,Open,10,100,100.0,1021,772,758,98.18652849740933
13,Open,10,400,100.0,1021,770,771,99.87012987012989
14,Open,10,100,100.0,32,999,985,98.5985985985986
15,Open,10,400,100.0,32,1001,996,99.5004995004995
16,Open,10,100,100.0,512,773,758,98.05950840879687
17,Open,10,400,100.0,512,772,758,98.18652849740933
18,Open,10,100,500.0,1021,1981,1967,99.29328621908128
19,Open,10,400,500.0,1021,1980,1966,99.29292929292929
20,Open,10,100,500.0,32,4927,4914,99.73614775725594
21,Open,10,400,500.0,32,4927,4918,99.81733306271563
22,Open,10,100,500.0,512,3291,3277,99.57459738681251
23,Open,10,400,500.0,512,3289,3276,99.60474308300395
