,Test Condition,Test Duration (ms),Distance (cm),Transmission Rate (Hz),Message Length (bytes),Messages Sent,Messages Received,Packet Loss (%)
0,Occlusion,10,100,100.0,32,1001,995,99.4005994005994
1,Occlusion,10,100,100.0,32,1001,994,99.3006993006993
2,Occlusion,10,100,100.0,32,1001,914,91.30869130869132
3,Occlusion,10,125,100.0,32,1001,999,99.8001998001998
4,Occlusion,10,125,100.0,32,1002,987,98.50299401197606
5,Occlusion,10,135,100.0,32,1002,1001,99.9001996007984
6,Occlusion,10,135,100.0,32,1000,1001,99.9
7,Occlusion,10,150,100.0,32,1001,2,0.1998001998002041
8,Occlusion,10,150,100.0,32,1001,581,58.04195804195804
9,Occlusion,10,150,100.0,32,1001,1000,99.9000999000999
10,Occlusion,10,150,100.0,32,1001,538,53.74625374625375
11,Occlusion,10,150,100.0,32,1001,1001,100.0
12,Occlusion,10,150,100.0,32,1001,869,86.81318681318682
13,Occlusion,10,175,100.0,32,1001,996,99.5004995004995
14,Occlusion,10,175,100.0,32,1001,860,85.91408591408592
15,Occlusion,10,175,100.0,32,1001,1001,100.0
16,Occlusion,10,200,100.0,32,1001,485,48.45154845154845
17,Occlusion,10,200,100.0,32,1001,331,33.06693306693307
18,Occlusion,10,200,100.0,32,1001,532,53.14685314685315
19,Occlusion,10,200,100.0,32,1001,59,5.894105894105895
20,Occlusion,10,200,100.0,32,1001,1000,99.9000999000999
21,Occlusion,10,200,100.0,32,1001,22,2.197802197802201
22,Occlusion,10,300,100.0,32,998,2,0.2004008016032066
